100000,Potato,100,0.89,0.29,12/16/2022,Vegetables,Pounds,455380
100001,Tomato,288.0,3.89,2.29,12/16/2022,Vegetables,Pounds,455380
100002,egg,100,3.99,1.99,12/16/2022,Dairy,Dozen,455380
100003,Milk,90,5.99,2.99,12/6/2022,Dairy,Gallon,455380
100004,Lettce,170,1.99,0.99,12/16/2022,Vegetables,Pounds,455380
100005,Celery,49,0.99,0.39,12/16/2022,Vegetables,Pounds,455380
100006,Mushroom,90,5.99,2.99,12/6/2022,Vegetables,Pounds,455380
100007,Pork,120,4.99,2.99,12/6/2022,Meat,Pounds,455281
100008,Beef,357,8.99,5.99,12/25/2022,Meat,Pounds,455281
100009,Chicken,153,2.99,1.99,12/6/2022,Meat,Pounds,455281
100010,Bread,480,12.99,7.99,4/6/2023,Dairy,Dozen,455281
